Destination;Country;Cost_of_Living_Index;Rent_Index;Cost_of_Living_Plus_Rent_Index;Groceries_Index;Restaurant_Price_Index;Local_Purchasing_Power_Index;HDI_Value_Latest;Life_Expectancy;GNI_per_capita_PPP;Inflation_Rate_National_Latest_Pct;Crime_Index;Safety_Index;Unemployment_Rate_National_Latest_Pct;English_level;Cuisine_Rank;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Distance_from_Lodz_km_road;Overall_Daily_Cost_Budget_USD;Overall_Daily_Cost_MidRange_USD;Overall_Daily_Cost_Luxury_USD;Language;Number_of_ratings;CostofLivingIndex;RentIndex;CostofLivingPlusRentIndex;GroceriesIndex;RestaurantPriceIndex;LocalPurchasingPowerIndex;Popularity_TripAdvisor_Count
Lyon;France;64.4;22.0;46.0;70.1;60.0;119.8;0.959;81.378;64053.22124;2.5;55.6;44.4;7.37;Moderate;5;cold;cold;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cold;1550.0;75;179;383;French;75957;70.2;23.8;50.0;63.0;65.0;124.3;75957
French Alps;France;64.4;22.0;46.0;70.1;60.0;119.8;0.959;81.378;64053.22124;2.5;55.6;44.4;7.37;Moderate;5;freezing;freezing;very cold;cold;cool;cool;cool;cool;cool;cold;very cold;freezing;1500.0;98;237;539;French;32923;111.4;63.7;90.6;113.8;113.4;171.0;32923
Provence-Alpes-Côte d'Azur;France;64.4;22.0;46.0;70.1;60.0;119.8;0.959;81.378;64053.22124;2.5;55.6;44.4;7.37;Moderate;5;cold;cold;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cold;1900.0;87;220;570;French;113771;70.2;23.8;50.0;63.0;65.0;124.3;113771
Normandy;France;64.4;22.0;46.0;70.1;60.0;119.8;0.959;81.378;64053.22124;2.5;55.6;44.4;7.37;Moderate;5;cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1500.0;74;175;371;French;102262;74.6;44.4;61.4;76.1;66.8;116.8;102262
Brittany;France;64.4;22.0;46.0;70.1;60.0;119.8;0.959;81.378;64053.22124;2.5;55.6;44.4;7.37;Moderate;5;cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1700.0;55;136;347;French;57991;74.6;44.4;61.4;76.1;66.8;116.8;57991
Monaco;Monaco;;;;;;;0.815;77.395;22128.39461;4.7;24.7;75.3;1.0;High;100;cold;cold;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cold;1650.0;123;283;564;French;29054;70.2;23.8;50.0;63.0;65.0;124.3;29054
Berlin;Germany;64.7;25.4;47.6;62.1;60.8;140.4;0.908;81.857;35760.74915;2.5;39.6;60.4;3.406;High;12;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;500.0;76;201;557;German;304093;66.0;35.4;52.7;63.2;68.2;167.2;304093
Bavaria;Germany;64.7;25.4;47.6;62.1;60.8;140.4;0.908;81.857;35760.74915;2.5;39.6;60.4;3.406;High;12;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;very cold;900.0;85;199;449;German;173053;72.3;44.3;60.1;61.0;72.6;127.5;173053
North Rhine-Westphalia;Germany;64.7;25.4;47.6;62.1;60.8;140.4;0.908;81.857;35760.74915;2.5;39.6;60.4;3.406;High;12;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;900.0;124;273;579;German;76830;67.7;31.7;52.0;62.4;65.8;136.7;76830
Hamburg;Germany;64.7;25.4;47.6;62.1;60.8;140.4;0.908;81.857;35760.74915;2.5;39.6;60.4;3.406;High;12;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;very cold;700.0;66;161;371;German;85300;69.9;32.1;53.4;67.4;81.5;122.5;85300
Saxony;Germany;64.7;25.4;47.6;62.1;60.8;140.4;0.908;81.857;35760.74915;2.5;39.6;60.4;3.406;High;12;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;550.0;76;179;381;German;42751;63.3;20.4;34.5;39.3;44.6;100.7;42751
Baden-Württemberg;Germany;64.7;25.4;47.6;62.1;60.8;140.4;0.908;81.857;35760.74915;2.5;39.6;60.4;3.406;High;12;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;1100.0;94;219;483;German;73055;67.0;31.0;51.3;62.8;64.3;139.8;73055
Athens;Greece;51.0;12.8;34.4;48.6;53.9;65.3;0.87;77.024;37236.07462;2.3;46.4;53.6;10.133;Very High;3;cold;cool;comfortable;comfortable;warm;warm;hot;hot;warm;cool;cool;cold;2100.0;72;177;423;Greek;172211;53.7;16.8;37.6;51.4;56.0;62.6;172211
Santorini;Greece;51.0;12.8;34.4;48.6;53.9;65.3;0.87;77.024;37236.07462;2.3;46.4;53.6;10.133;Very High;3;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;;117;288;674;Greek;65597;53.7;16.8;37.6;51.4;56.0;62.6;65597
Crete;Greece;51.0;12.8;34.4;48.6;53.9;65.3;0.87;77.024;37236.07462;2.3;46.4;53.6;10.133;Very High;3;cool;cool;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cool;;64;164;430;Greek;119239;53.7;16.8;37.6;51.4;56.0;62.6;119239
Mykonos;Greece;51.0;12.8;34.4;48.6;53.9;65.3;0.87;77.024;37236.07462;2.3;46.4;53.6;10.133;Very High;3;cool;cool;cool;comfortable;warm;warm;warm;warm;warm;comfortable;cool;cool;;128;309;698;Greek;33206;53.7;16.8;37.6;51.4;56.0;62.6;33206
Rhodes;Greece;51.0;12.8;34.4;48.6;53.9;65.3;0.87;77.024;37236.07462;2.3;46.4;53.6;10.133;Very High;3;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;;85;193;369;Greek;87246;53.7;16.8;37.6;51.4;56.0;62.6;87246
Peloponnese;Greece;51.0;12.8;34.4;48.6;53.9;65.3;0.87;77.024;37236.07462;2.3;46.4;53.6;10.133;Very High;3;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;2000.0;75;172;328;Greek;26978;53.7;16.8;37.6;51.4;56.0;62.6;26978
Thessaly;Greece;51.0;12.8;34.4;48.6;53.9;65.3;0.87;77.024;37236.07462;2.3;46.4;53.6;10.133;Very High;3;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;1700.0;80;187;388;Greek;15113;50.7;13.2;34.4;48.0;40.3;67.5;15113
Thessaloniki;Greece;51.0;12.8;34.4;48.6;53.9;65.3;0.87;77.024;37236.07462;2.3;46.4;53.6;10.133;Very High;3;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;1600.0;82;187;358;Greek;22386;50.7;13.2;34.4;48.0;40.3;67.5;22386
Budapest;Hungary;42.3;13.6;29.8;40.3;39.4;79.5;0.972;82.691;69116.93736;4.0;33.7;66.3;4.434;High;20;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cold;very cold;600.0;42;111;306;Hungarian;304092;45.1;21.8;35.0;38.7;45.4;107.2;304092
Iceland;Iceland;94.5;50.1;75.2;102.5;99.3;120.1;0.949;82.412;90884.63459;5.3;25.8;74.2;3.107;Unknown;95;very cold;very cold;cold;cold;cool;cool;cool;cool;cold;cold;very cold;very cold;;109;252;585;Icelandish;142634;96.2;50.5;76.3;102.1;106.5;113.1;142634
Dublin;Ireland;66.6;44.7;57.0;64.7;69.6;117.4;0.915;83.716;52388.88306;1.6;48.6;51.4;4.369;Very High;48;cold;cold;cool;cool;cool;comfortable;comfortable;comfortable;cool;cool;cold;cold;;79;206;563;English;264639;72.2;57.7;65.9;67.6;78.4;117.9;264639
Munster;Ireland;66.6;44.7;57.0;64.7;69.6;117.4;0.915;83.716;52388.88306;1.6;48.6;51.4;4.369;Very High;48;cold;cold;cool;cool;cool;comfortable;comfortable;comfortable;cool;cool;cold;cold;;77;192;474;English;106637;71.0;44.7;59.5;71.7;71.2;113.0;106637
Rome;Italy;57.2;20.2;41.1;59.5;57.4;93.6;0.889;76.19;37997.82233;0.8;47.2;52.8;6.778;Moderate;1;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;1450.0;91;238;645;Italian;598037;56.7;31.6;45.8;57.6;55.2;88.0;598037
Tuscany;Italy;57.2;20.2;41.1;59.5;57.4;93.6;0.889;76.19;37997.82233;0.8;47.2;52.8;6.778;Moderate;1;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;1300.0;87;207;501;Italian;343046;62.6;28.6;47.8;61.7;67.7;85.0;343046
Venice;Italy;57.2;20.2;41.1;59.5;57.4;93.6;0.889;76.19;37997.82233;0.8;47.2;52.8;6.778;Moderate;1;cold;cold;cool;cool;comfortable;warm;warm;warm;comfortable;cool;cool;cold;1100.0;124;318;828;Italian;224754;61.9;21.4;35.9;47.3;42.9;67.8;224754
Lombardy;Italy;57.2;20.2;41.1;59.5;57.4;93.6;0.889;76.19;37997.82233;0.8;47.2;52.8;6.778;Moderate;1;cool;cool;cool;comfortable;warm;warm;hot;warm;warm;comfortable;cool;cool;1150.0;95;224;533;Italian;225290;68.2;42.5;57.1;64.9;67.6;137.2;225290
Campania;Italy;57.2;20.2;41.1;59.5;57.4;93.6;0.889;76.19;37997.82233;0.8;47.2;52.8;6.778;Moderate;1;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;1700.0;76;182;425;Italian;111886;56.3;23.2;46.6;70.1;64.1;85.9;111886
Sicily;Italy;57.2;20.2;41.1;59.5;57.4;93.6;0.889;76.19;37997.82233;0.8;47.2;52.8;6.778;Moderate;1;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;;59;140;295;Italian;136035;47.9;12.6;32.5;45.4;53.3;121.4;136035
Dolomites and Italian Alps;Italy;57.2;20.2;41.1;59.5;57.4;93.6;0.889;76.19;37997.82233;0.8;47.2;52.8;6.778;Moderate;1;cold;cold;cool;cool;comfortable;warm;warm;warm;comfortable;cool;cool;cold;1050.0;83;184;345;Italian;55497;68.2;42.5;57.1;64.9;67.6;137.2;55497
Sardinia;Italy;57.2;20.2;41.1;59.5;57.4;93.6;0.889;76.19;37997.82233;0.8;47.2;52.8;6.778;Moderate;1;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;;73;167;319;Italian;53516;57.8;19.8;42.8;64.5;59.5;96.1;53516
Riga;Latvia;49.0;11.6;32.7;44.7;49.7;82.1;0.895;76.025;41916.46579;0.9;36.6;63.4;6.72;Unknown;100;freezing;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;800.0;55;138;347;Latvian;43719;51.4;13.6;25.9;34.6;32.3;64.6;43719
Liechtenstein;Liechtenstein;;;;;;;0.922;82.229;85461.24833;0.8;;;1.6;Unknown;100;very cold;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;1050.0;149;333;631;German;3891;112.5;68.1;93.2;113.9;110.4;167.3;3891
